columna,etiqueta_original_portal
additional_information_to_facilitate_the_understanding_of_the_reported_average_operational_energy_efficiency_indicators,Additional information to facilitate the understanding of the reported average operational energy efficiency indicators
annual_average_co2_emissions_per_distance_kg_co2_n_mile,Annual average CO₂ emissions per distance [kg CO₂ / n mile]
annual_average_co2_emissions_per_transport_work_dwt_g_co2_dwt_carried_n_miles,Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles]
annual_average_co2_emissions_per_transport_work_freight_g_co2_m_tonnes_n_miles,Annual average CO₂ emissions per transport work (freight) [g CO₂ / m tonnes · n miles]
annual_average_co2_emissions_per_transport_work_mass_g_co2_m_tonnes_n_miles,Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]
annual_average_co2_emissions_per_transport_work_pax_g_co2_pax_n_miles,Annual average CO₂ emissions per transport work (pax) [g CO₂ / pax · n miles]
annual_average_co2_emissions_per_transport_work_volume_g_co2_m3_n_miles,Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles]
annual_average_fuel_consumption_per_distance_kg_n_mile,Annual average Fuel consumption per distance [kg / n mile]
annual_average_fuel_consumption_per_transport_work_dwt_g_dwt_carried_n_miles,Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles]
annual_average_fuel_consumption_per_transport_work_freight_g_m_tonnes_n_miles,Annual average Fuel consumption per transport work (freight) [g / m tonnes · n miles]
annual_average_fuel_consumption_per_transport_work_mass_g_m_tonnes_n_miles,Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles]
annual_average_fuel_consumption_per_transport_work_pax_g_pax_n_miles,Annual average Fuel consumption per transport work (pax) [g / pax · n miles]
annual_average_fuel_consumption_per_transport_work_volume_g_m3_n_miles,Annual average Fuel consumption per transport work (volume) [g / m³ · n miles]
annual_time_spent_at_sea_hours,Annual Time spent at sea [hours]
