dataset,modelo,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test
control,Gradient Boosting,323.03367005159964,421.18235241516453,131.5538946979257,147.14689096565291,0.9994440430552745,0.9991111581806348
control,"Lasso (alpha=0.316, escalado)",488.2525600774176,499.9799400071263,157.88336549448826,160.11543695869247,0.9987299095961271,0.998747466621747
control,Regresión lineal (stepwise),488.2385439114767,500.01233607321257,158.01040623303268,160.2461346214783,0.998729982515529,0.9987473043013598
control,"Ridge (alpha=31.6, escalado)",488.35427877366783,500.36059367113165,159.79634200751354,162.25895682875853,0.9987293803397218,0.9987455586935385
control,Random Forest,247.53714665926762,505.91832530653863,45.709637735805735,109.93328838092472,0.9996735427351916,0.9987175366312134
control,XGBoost (mismos hiperparámetros),308.5683259377001,1019.2617012447212,96.132701292942,168.6221953070382,0.9994927193867353,0.9947945825976342
principal,Stacking (RF + GB + XGBoost),3309.3780402082407,5710.980913988668,1698.5907454955623,2638.528108782404,0.94165033889398,0.8365798648389926
principal,XGBoost (GridSearchCV),4248.214645528939,5761.748254519967,2051.774968586704,2685.87196537873,0.9038479650283966,0.8336615287710847
principal,Random Forest (GridSearchCV),2585.983621529875,5898.013821165485,1413.7672608856342,2701.3269871754287,0.9643715346283649,0.8257006692042262
principal,"SVM (SVR rbf, target escalado)",5988.36153623675,6512.722507653167,2722.951376379927,2976.184931848419,0.8089435953270184,0.7874753564892238
principal,Gradient Boosting (GridSearchCV),6213.808166062924,6625.924416850163,3078.843514766788,3304.84697233466,0.7942872265278105,0.7800230871750233
principal,Regresión lineal (stepwise),8308.302143758583,8622.104695070953,4459.698884539585,4633.834918944999,0.6322352159098341,0.6275133330730994
principal,"Lasso (alpha=0.316, escalado)",8308.543587052623,8622.696703208792,4459.725359904295,4634.104959136687,0.6322138407528958,0.6274621802011904
principal,"Ridge (alpha=31.6, escalado)",8308.985747833132,8623.248833648753,4459.546861183587,4634.0372882446545,0.6321746943150951,0.6274144698240764
