tipo,n,err_rel_principal,err_rel_operacional,R2_principal,R2_operacional,mejora_R2
Other ship types,476.0,0.39871798076180737,0.3666879288521785,0.4555659454208816,0.5299382222700237,0.07437227684914216
Ro-pax ship,712.0,0.3416908081247353,0.1932730077215702,0.5823274960378206,0.8421719222099749,0.2598444261721543
Combination carrier,7.0,0.33183424626437275,0.1993951431055126,0.7256046422131306,0.8804265899644357,0.1548219477513051
Passenger ship,277.0,0.27843713260301156,0.26161653850667504,0.7425734023715918,0.834867410312212,0.09229400794062026
General cargo ship,2287.0,0.25752462089396005,0.1721609034806488,0.5158729626989585,0.7847727862889642,0.26889982359000564
Container ship,3183.0,0.21997567720229416,0.13889565039660318,0.788213359422725,0.9131330885120744,0.12491972908934945
Refrigerated cargo carrier,211.0,0.21018541506897886,0.16712162321649723,0.7762433900788465,0.9093968086657733,0.13315341858692686
Gas carrier,562.0,0.20871098481092065,0.1616138838013838,0.483244292522071,0.5793207772138669,0.09607648469179586
Ro-ro ship,353.0,0.1902409800658207,0.13573025936127758,0.5541070050358017,0.7463871396486629,0.1922801346128612
LNG carrier,507.0,0.17707153159501937,0.16865286309356053,0.8035548370727571,0.8314043189797806,0.02784948190702352
Oil tanker,3257.0,0.14925520550083105,0.1332845614365507,0.8316224888324419,0.8793327883865928,0.04771029955415085
Chemical tanker,2053.0,0.1460472876258193,0.1418399676638668,0.8131054030427092,0.8543158572570854,0.04121045421437619
Bulk carrier,6337.0,0.14357084064175432,0.12072223813163269,0.79894564212192,0.8280998547045061,0.029154212582586103
Vehicle carrier,760.0,0.12806486795721594,0.09880749233522199,0.8496924112783848,0.8885735398661816,0.0388811285877968
Container/ro-ro cargo ship,123.0,0.11238323482993176,0.10736016023984206,0.6627247132254311,0.8211724869412094,0.15844777371577823
