tipo,n,err_rel_principal,err_rel_tamano,R2_principal,R2_tamano,mejora_R2
General cargo ship,2287.0,0.25752462089396005,0.18586066064214257,0.5158729626989585,0.7320783405559227,0.21620537785696414
Gas carrier,562.0,0.20871098481092065,0.18525222557508936,0.483244292522071,0.6809274726865212,0.1976831801644502
Container ship,3183.0,0.21997567720229416,0.14690566388672993,0.788213359422725,0.9268637543197045,0.1386503948969795
Passenger ship,277.0,0.27843713260301156,0.18985162279564904,0.7425734023715918,0.8778879070277281,0.13531450465613637
Other ship types,476.0,0.39871798076180737,0.3361878561657117,0.4555659454208816,0.5697249837254843,0.11415903830460272
Ro-pax ship,712.0,0.3416908081247353,0.27609834824567325,0.5823274960378206,0.6827076521836504,0.10038015614582974
Container/ro-ro cargo ship,123.0,0.11238323482993176,0.09626566089174622,0.6627247132254311,0.7618682803773832,0.09914356715195205
Ro-ro ship,353.0,0.1902409800658207,0.21601848988059832,0.5541070050358017,0.6449981579496125,0.09089115291381078
Bulk carrier,6337.0,0.14357084064175432,0.13013578205409373,0.79894564212192,0.8658796733512792,0.06693403122935926
Refrigerated cargo carrier,211.0,0.21018541506897886,0.17380584297173152,0.7762433900788465,0.8388367631175302,0.06259337303868373
Chemical tanker,2053.0,0.1460472876258193,0.1449977164001202,0.8131054030427092,0.8387199425649448,0.02561453952223558
Vehicle carrier,760.0,0.12806486795721594,0.12018328091510343,0.8496924112783848,0.8745030684285402,0.024810657150155402
LNG carrier,507.0,0.17707153159501937,0.17010322022161817,0.8035548370727571,0.8219501669682577,0.018395329895500634
Oil tanker,3257.0,0.14925520550083105,0.13562932937749594,0.8316224888324419,0.8141053519364541,-0.017517136895987884
Combination carrier,7.0,0.33183424626437275,0.26003852319234266,0.7256046422131306,0.44073450932139746,-0.28487013289173313
