fraccion,fold,n_filas,n_buques,R2_xgb,R2_red,epocas,seg_red,seg_xgb
0.25,0,14424,3440,0.7743729343625282,0.7801906890444266,89,38.2,0.5
0.25,1,13932,3440,0.7812067218246317,0.797373621020986,70,30.7,0.5
0.25,2,14354,3440,0.7774492491471361,0.7821167667454788,76,33.5,0.6
0.5,0,28421,6880,0.80191242847901,0.7894934743258101,55,36.7,0.7
0.5,1,27987,6880,0.807237317832095,0.8107195334045461,89,58.5,0.8
0.5,2,28556,6880,0.8120482324424219,0.8163881207292751,90,61.5,0.8
0.75,0,42690,10320,0.8063964487971557,0.7944459221588908,73,72.7,1.0
0.75,1,42461,10320,0.8189852902364132,0.816718535981124,86,86.8,1.0
0.75,2,42756,10320,0.8138303818140072,0.8217147108999543,90,91.0,0.8
1.0,0,56944,13761,0.8159130271688767,0.8042476227681723,99,114.5,1.3
1.0,1,56944,13761,0.8272745448108019,0.8223462889056368,97,112.1,1.1
1.0,2,56944,13760,0.8366353330685106,0.8300645917444984,123,143.5,1.0
