modelo,fold,RMSE,MAE,R2,epocas,segundos
XGBoost (notebook 04),0,6066.808661240068,2660.78749356676,0.8159130271688767,200,1.6
XGBoost (notebook 04),1,5468.626314485084,2540.425648944478,0.8272745448108019,200,1.3
XGBoost (notebook 04),2,5569.996633584797,2577.3766093897925,0.8366353330685106,200,0.8
Red densa 4x64 (estilo clase),0,6327.518735700397,2786.5199211988265,0.7997514687100282,83,52.5
Red densa 4x64 (estilo clase),1,5638.428369559008,2644.314741688475,0.8163816903215246,81,53.1
Red densa 4x64 (estilo clase),2,5705.822145221373,2661.3090440374986,0.8285708282947153,67,45.0
Red regularizada 256-128-64,0,6256.079983010188,2752.5595348027346,0.8042476227681723,99,113.1
Red regularizada 256-128-64,1,5546.093884166067,2637.380392461468,0.8223462889056368,97,110.1
Red regularizada 256-128-64,2,5680.908658717768,2649.601482308726,0.8300645917444984,123,140.8
Red del tuner 160-64,0,6334.996850533564,2781.14900765527,0.7992778655595574,261,156.9
Red del tuner 160-64,1,5647.500407273867,2647.8519765140218,0.8157903438602292,118,75.1
Red del tuner 160-64,2,5772.441098014583,2704.745915246742,0.8245443788688562,95,58.6
Red con embeddings 256-128-64,0,6281.6915115968495,2806.669652988381,0.8026415755488852,57,68.8
Red con embeddings 256-128-64,1,5600.505079475191,2666.7214103950887,0.8188433666964389,80,98.3
Red con embeddings 256-128-64,2,5753.8749618090615,2691.3889484728065,0.8256712138549892,92,110.6
