tipo,n,R2_red,R2_xgb,MAE_red,MAE_xgb,gana
Bulk carrier,6337.0,0.8283272998631601,0.79894564212192,773.3768634310729,795.1083629450064,red
Oil tanker,3257.0,0.8278722535608785,0.8316224888324419,1738.6082101526208,1694.0046910400667,XGBoost
Container ship,3183.0,0.7788630181656488,0.788213359422725,6055.902769133551,5825.131463598525,XGBoost
General cargo ship,2287.0,0.47753143287335365,0.5158729626989585,1508.7639013346798,1388.8967413283042,XGBoost
Chemical tanker,2053.0,0.8003688672513575,0.8131054030427092,1139.2999994649076,1095.5904096733593,XGBoost
Vehicle carrier,760.0,0.8284052795117854,0.8496924112783848,1731.9612729634619,1585.5992889631525,XGBoost
Ro-pax ship,712.0,0.576850605797881,0.5823274960378206,12638.848443134526,12766.1860305263,XGBoost
Gas carrier,562.0,0.5281088548965913,0.483244292522071,2700.045865714679,2832.4154224802537,red
LNG carrier,507.0,0.7191428842767075,0.8035548370727571,6556.200465130516,5643.775009842402,XGBoost
Other ship types,476.0,0.4888182122967697,0.4555659454208816,2913.7943638292386,3062.1572130845416,red
Ro-ro ship,353.0,0.5343691053872532,0.5541070050358017,6938.0517821569,6329.790692369145,XGBoost
Passenger ship,277.0,0.7063985555996665,0.7425734023715918,10046.718646998463,9486.148462951298,XGBoost
Refrigerated cargo carrier,211.0,0.7489459204701887,0.7762433900788465,3060.6849527740897,2868.772510125333,XGBoost
Container/ro-ro cargo ship,123.0,0.7083946901128721,0.6627247132254311,4035.7718747477043,3904.138346921367,red
Combination carrier,7.0,0.7523918733504482,0.7256046422131306,1096.5153441356083,1332.5783365987722,red
