ship_imo_number,co2_real,oof_xgboost,oof_red
6417097,25689.0258,42090.44921875,30787.190811886867
6511128,6941.3412,16669.2734375,16103.43771024249
6703343,1724.628,3294.821044921875,3376.7797764235665
7037806,16751.35,31909.619140625,22525.504959172555
7043843,11959.0215,19752.255859375,24443.277374970487
7108930,28302.4238,56570.3203125,66899.9891715207
7128332,12912.3509,38287.3515625,30962.39869914463
7128887,4069.587,6584.76513671875,10169.709271385676
7205910,18252.0584,21944.376953125,24996.820621440907
7211074,4918.6773,6667.6064453125,8658.327027421712
7218395,22151.315,52719.71875,46270.96920725876
7224459,6100.3724,7906.0146484375,6163.2932854255605
7226952,5891.3456,13685.2353515625,19709.761000708317
7304314,32774.1604,55298.16015625,56873.39026196289
7305253,20397.1833,33914.2578125,31886.57926593058
7310507,2002.774,2637.76318359375,3003.186410663424
7342469,11131.2544,8581.4833984375,11607.946659806814
7346221,23947.4803,13561.109375,18631.154267944963
7349039,7191.8867,12115.7802734375,11014.924236641304
7350090,7938.4091,14418.63671875,12848.707835162306
7358755,10784.3789,14481.3251953125,15661.900142943021
7359400,10170.6343,15474.541015625,15219.148562274424
7360605,9800.4708,9295.111328125,12299.308164732025
7360617,10668.6711,11471.49609375,13553.62016054688
7361312,25580.3031,15297.23046875,16124.875270731036
7361324,29767.2198,22778.201171875,16083.70725863286
7516773,15630.4035,25596.201171875,19930.62221257248
7521651,15902.3326,26985.990234375,28684.518885691534
7527306,11790.7405,12901.0869140625,17116.703104542892
7529964,4933.4698,6893.85498046875,3477.1302326293553
7531357,957.3552,1974.80517578125,1591.848027729644
7531369,216.806,209.70449829101562,640.2694832100333
7602120,11533.3209,21374.263671875,18638.484196943857
7615048,11502.2304,22902.4609375,25018.20141147868
7615414,19091.9954,31944.5234375,28512.64669721043
7619458,9735.4037,10923.87890625,7159.2354094338825
7622041,6295.02,5076.0009765625,7579.215053269642
7625811,1411.7621,3975.469482421875,4135.196205869877
7633375,9348.3113,12822.54296875,11953.196428048039
7802067,5326.0637,16331.8740234375,12384.953476623425
7802122,1211.0602,3415.669189453125,3155.7401418579275
7802794,4747.3345,23378.220703125,17777.96224156688
7803205,5650.174,5991.67578125,4141.158045138309
7807744,19120.138,6669.4501953125,6395.010359918626
7814046,48225.2424,48054.12109375,44156.69847521182
7814462,35317.5048,35292.60546875,38820.354065459265
7826788,17972.6863,12484.068359375,13061.268921232086
7826790,29344.8334,14589.9296875,15302.676176412966
7826867,15803.006,23756.37109375,25661.75702796861
7827213,21710.2409,26046.3046875,23380.845899865333
7827225,37530.4606,49111.84375,56386.591924711574
7901760,30285.39,11981.7421875,20581.105487354595
