l2,num_layers,units_0,dropout_0,units_1,dropout_1,lr,units_2,dropout_2,units_3,dropout_3,val_loss
0.0,2,160,0.0,64,0.0,0.0003,64,0.1,160,0.0,0.1743011772632599
0.0,3,192,0.1,96,0.0,0.0003,128,0.1,96,0.0,0.17475804686546326
1e-05,2,192,0.1,96,0.1,0.001,192,0.0,192,0.2,0.17729051411151886
1e-05,2,192,0.0,224,0.2,0.001,256,0.0,192,0.0,0.1790359914302826
1e-05,2,64,0.1,64,0.1,0.0003,32,0.2,256,0.2,0.18428592383861542
0.0001,3,160,0.2,32,0.1,0.001,64,0.1,192,0.2,0.18923281133174896
0.0001,3,32,0.1,192,0.0,0.001,224,0.0,224,0.0,0.19200097024440765
1e-05,4,256,0.1,224,0.2,0.0003,256,0.1,192,0.2,0.1931820958852768
0.0001,4,224,0.2,160,0.0,0.001,64,0.1,192,0.1,0.19354204833507538
0.001,2,224,0.2,128,0.2,0.001,192,0.0,160,0.1,0.19542430341243744
0.001,3,128,0.1,192,0.2,0.001,160,0.1,64,0.0,0.19616711139678955
1e-05,4,128,0.1,160,0.1,0.0003,96,0.2,256,0.2,0.19636105000972748
1e-05,4,256,0.1,128,0.2,0.01,96,0.0,32,0.0,0.19726291298866272
0.001,4,96,0.1,64,0.2,0.001,32,0.0,32,0.0,0.20002584159374237
0.0001,2,224,0.1,160,0.0,0.01,256,0.1,32,0.0,0.20476113259792328
0.001,4,224,0.2,256,0.2,0.0003,224,0.2,64,0.1,0.20643730461597443
0.0001,3,128,0.1,96,0.2,0.01,32,0.1,224,0.0,0.20740868151187897
0.0,3,32,0.2,160,0.1,0.001,96,0.1,32,0.2,0.20949485898017883
0.001,3,128,0.2,32,0.2,0.0003,96,0.2,128,0.1,0.216452956199646
0.001,2,224,0.1,32,0.2,0.01,96,0.2,64,0.1,0.22720231115818024
