tipo,n,tipo_buque_%_nivel1,tipo_buque_%_nivel2,capacidad_%_nivel2,caida
LNG carrier,507,48.3,5.5,46.8,42.7
General cargo ship,2287,47.8,21.5,36.1,26.3
Passenger ship,277,45.8,3.0,57.1,42.9
Ro-pax ship,712,41.8,2.9,46.6,38.9
Chemical tanker,2053,41.6,18.0,26.9,23.6
Container ship,3183,34.9,28.0,27.3,6.9
Bulk carrier,6337,32.0,21.6,14.0,10.4
Other ship types,476,30.3,12.0,31.6,18.3
Gas carrier,562,24.9,6.6,34.8,18.3
Oil tanker,3257,24.0,13.1,22.6,10.9
Container/ro-ro cargo ship,123,17.8,11.8,35.0,6.1
Ro-ro ship,353,13.2,24.7,17.5,-11.4
Refrigerated cargo carrier,211,12.2,16.1,24.2,-3.8
Vehicle carrier,760,11.1,18.6,27.6,-7.5
