,Horas en el mar,Eficiencia técnica (EEDI/EIV),Tipo de buque,Método de eficiencia,Clase de hielo,Proporción de missings,Subcategoría nueva de EMSA
Bulk carrier,51.8,9.0,32.0,4.6,2.0,0.5,0.1
Chemical tanker,42.2,8.1,41.6,5.3,2.2,0.5,0.1
Container ship,37.1,17.1,34.9,6.7,3.5,0.8,0.1
Container/ro-ro cargo ship,59.0,13.8,17.8,7.3,1.6,0.4,0.1
Gas carrier,52.0,15.0,24.9,5.3,1.6,1.0,0.1
General cargo ship,33.5,8.5,47.8,6.2,3.2,0.7,0.1
LNG carrier,36.6,7.6,48.3,5.2,1.0,1.3,0.0
Oil tanker,49.2,17.6,24.0,6.7,1.9,0.6,0.1
Other ship types,42.1,7.2,30.3,9.4,3.8,4.5,2.7
Passenger ship,28.6,11.2,45.8,7.2,5.1,1.4,0.7
Refrigerated cargo carrier,64.5,12.1,12.2,7.3,3.0,0.8,0.1
Ro-pax ship,38.0,10.0,41.8,5.2,4.3,0.5,0.1
Ro-ro ship,62.1,13.1,13.2,5.3,5.5,0.6,0.1
Vehicle carrier,65.8,12.5,11.1,6.5,2.6,1.3,0.1
