tipo,n,co2_base_t,ahorro_t,ahorro_pct,horas_evitadas,t_por_hora,shap_t_por_hora
Container ship,2361,51442721.52989578,4866534.936740875,9.46010396030992,672789.7660000001,7.233366472968727,5.568
Oil tanker,1997,16733707.54225421,1610305.2256717682,9.6231227993294,399924.32000000007,4.026524882687224,4.199
Bulk carrier,4774,15123201.158437133,1518229.6465263367,10.039075924605594,518595.94299999997,2.927577176449945,4.076
Ro-pax ship,415,13695761.93939209,1081209.7675170898,7.894484237545686,164877.75300000003,6.557644969343376,5.629
LNG carrier,406,10252904.849029541,927698.8999023438,9.048156727896997,119545.06200000002,7.760244416472372,6.484
General cargo ship,2828,9411095.321379185,815197.1127595901,8.662085388803861,765345.435,1.065136179664533,3.016
Chemical tanker,1615,8885368.08925724,811054.454864502,9.127978117700028,341952.85400000005,2.371831219939173,3.391
Passenger ship,239,7426625.911262512,582398.3442382812,7.842031511982737,70828.694,8.222632825028247,6.292
Vehicle carrier,530,4436156.284368515,413946.1875,9.331190358613009,105723.568,3.9153633889843746,4.16
Ro-ro ship,237,5409783.649101257,408476.27655029297,7.550695241170214,107356.14199999999,3.8048710482749373,4.603
Other ship types,928,4852301.990347385,292634.55953741074,6.030839797678389,260038.732,1.1253498941742677,3.304
Gas carrier,413,2871773.30941391,252824.3147201538,8.803769917749943,87528.032,2.8884953647781524,3.723
Container/ro-ro cargo ship,67,1112122.2109985352,89795.25463867188,8.074225453877762,19499.105,4.605096215373571,4.791
Refrigerated cargo carrier,125,851907.8898868561,78010.97747802734,9.15720800383574,22967.710000000003,3.3965500904542654,4.787
Combination carrier,4,21820.6123046875,1414.14453125,6.480773827534683,656.0310000000001,2.1556062613656977,
