cii_tipo,quintil_tam,n,cap_mediana,ratio_mediano,pct_D_E
bulk,1,4990,28173.26,1.02,42.24
bulk,2,4990,39228.35,0.96,29.68
bulk,3,4989,54902.24,1.04,44.9
bulk,4,4991,65314.63,0.96,25.61
bulk,5,4986,94437.1,1.0,37.04
container,1,2661,10609.13,1.17,74.07
container,2,2648,27031.38,1.0,35.08
container,3,2656,59280.84,1.02,37.61
container,4,2658,130352.85,1.02,36.49
container,5,2650,231734.39,0.85,8.23
gas,1,475,4749.03,1.12,56.21
gas,2,478,10291.36,1.05,48.33
gas,3,471,19947.63,0.93,21.23
gas,4,472,36994.54,0.9,18.01
gas,5,473,77890.44,0.73,14.16
gencargo,1,1743,6102.0,1.16,63.51
gencargo,2,1745,8350.72,0.98,36.16
gencargo,3,1738,11447.68,0.98,35.5
gencargo,4,1745,18362.72,0.98,35.99
gencargo,5,1738,41335.08,0.91,18.64
reefer,1,196,4575.65,0.9,35.2
reefer,2,197,6985.24,1.01,44.16
reefer,3,193,8839.16,1.01,36.27
reefer,4,196,11376.96,1.03,39.29
reefer,5,190,14546.51,1.05,44.21
tanker,1,4526,10822.78,1.1,52.43
tanker,2,4526,29291.86,1.03,42.2
tanker,3,4526,47311.25,0.88,15.44
tanker,4,4525,87295.26,1.0,35.98
tanker,5,4522,149392.79,0.92,21.69
