grupo,buques,capacidad_mediana,frontera,co2_t,ahorro_t,ahorro_pct
Container ship|Q4,444,133420.57251064375,-0.003515019109725143,19549278.95228,500410.3115794249,2.5597379463505114
Container ship|Q3,444,78774.97741663488,-0.0030571795385073808,11678279.22577,380422.94751416997,3.2575257035703133
Container ship|Q2,444,37648.2840655902,-0.006416783872193781,10419872.61701,372885.7137577597,3.5786014614904182
Other ship types|sin_capacidad,423,,-0.1525256354889411,2417600.90634,340183.3120624029,14.071111206580639
Ro-pax ship|Q2,82,1024.8730112738915,-0.023986722799146595,3133631.76923,299525.7055083845,9.558420630321358
Ro-pax ship|Q4,82,5720.2352354032155,-0.06305319356486044,2978478.21325,285179.82969439245,9.57468241418544
Container ship|Q1,444,16727.404665769405,-0.011780255929033139,5444118.86358,272802.5358913779,5.010958480652746
Ro-pax ship|Q3,81,1838.139369662911,-0.00638423919211041,3221162.23762,208933.43241839073,6.48627473581598
Oil tanker|Q2,341,69686.54618473895,-0.01709394419319037,4054750.26089,187457.62631931732,4.623160842418226
Passenger ship|Q4,47,3871.9202826709106,-0.009504186809100893,2936515.14967,174348.21295838113,5.937248884208006
LNG carrier|Q4,78,127167.25442056704,-0.028355089714608907,2185881.1006,168573.65366638105,7.711931523636371
Oil tanker|Q1,341,36842.69680452692,-0.028609456911183804,2273378.81796,167913.41644699374,7.386072885013928
Oil tanker|Q0,342,16037.28387000968,-0.025407939483211003,2257402.3012,165472.69533522672,7.330226218306945
Oil tanker|Q4,342,129404.77485545499,-0.02001910138554104,4022103.21506,158150.19157695057,3.9320271788348764
Ro-pax ship|Q1,81,642.3811594908168,-0.0048714255967809905,2509792.49172,157824.77059453478,6.2883593410694685
Oil tanker|Q3,341,89721.84664246824,-0.024496420604597724,3962205.89916,157304.03767735022,3.9701126514071157
Bulk carrier|Q4,734,70043.79308059384,-0.026792851554042686,4059274.21974,150941.3507820053,3.7184319809680955
Container ship|Q0,444,6346.666500688767,-0.0018538428958081287,4260536.41046,140545.19268616688,3.298767552862963
LNG carrier|Q3,78,103686.53149918388,-0.011830315021213723,2086433.98563,131852.85492130122,6.31953159454926
General cargo ship|Q3,529,8883.215221652095,-0.010261807719293968,2590932.23639,131406.50688677462,5.0717847823710756
Passenger ship|Q3,47,2540.1442858372448,-0.04408461117079261,1991164.56898,126221.05362627447,6.339056830994781
LNG carrier|Q0,79,70723.32015810277,-0.04887531040876657,1472244.61992,120220.39728255362,8.165789547194015
Ro-pax ship|Q0,82,334.593063293897,0.007655334969370285,1623599.20514,114435.59144484956,7.048266042664266
