tipo,ahorro_t,horas_evitadas,ets_eur,combustible_t,valor_eur,eur_por_dia_mar,palanca
Bulk carrier,1518229.6465263367,518595.9429999999,65554548.039980255,483404.8608674298,307256978.47369516,14219.485483650775,millas_-10pct
Chemical tanker,811054.454864502,341952.85399999993,41359211.48042377,258240.02765768842,170479225.30926797,11965.103842714037,millas_-10pct
Combination carrier,1414.14453125,656.031,70873.7482052004,450.2641230458178,296005.80972810934,10828.969108890624,millas_-10pct
Container ship,4866534.936740875,672789.7659999998,220616864.2047749,1549506.4593055292,995370093.8575395,35507.202189786214,millas_-10pct
Container/ro-ro cargo ship,89795.25463867188,19499.104999999992,5111926.847393345,28590.841098695157,19407347.39674092,23887.062381672506,millas_-10pct
Gas carrier,252824.3147201538,87528.03199999998,11951752.386353534,80499.35196617118,52201428.369439125,14313.520505825372,millas_-10pct
General cargo ship,815197.1127595901,765345.4349999998,38457158.04027893,259559.0514087911,168236683.74467447,5275.6314014889085,millas_-10pct
LNG carrier,927698.8999023438,119545.06199999998,40060985.668079205,295379.6605541261,187750815.94514224,37693.06324575259,millas_-10pct
Oil tanker,1610305.2256717682,399924.3199999999,76525942.90402518,512721.75810226006,332886821.9551552,19976.988963621236,millas_-10pct
Other ship types,292634.55953741074,260038.73199999993,12792357.145998487,93174.94811265347,59379831.20232522,5480.3987771168095,millas_-10pct
Passenger ship,582398.3442382812,70828.69399999999,35277442.043048784,185435.8404936101,127995362.28985384,43370.681025919985,millas_-10pct
Refrigerated cargo carrier,78010.97747802734,22967.709999999995,3123857.463985145,24838.723048373722,15543218.988172006,16241.813211509907,millas_-10pct
Ro-pax ship,1081209.7675170898,164877.75299999997,58355026.096410364,344257.57554592605,230483813.86937338,33549.77510437665,millas_-10pct
Ro-ro ship,408476.27655029297,107356.14199999998,23274699.098395474,130058.99211968447,88304195.15823771,19740.842436362007,millas_-10pct
Vehicle carrier,413946.1875,105723.56799999997,18367261.65890901,131800.61371668737,84267568.5172527,19129.335896174685,millas_-10pct
Bulk carrier,-483815.04583597183,-576217.7144444447,-20325625.938442763,-154046.88312668254,-97349067.50178404,4054.6785728297423,velocidad_-10pct
Chemical tanker,-264992.68263053894,-379919.9711111113,-12855863.540298173,-84373.76464818,-55042745.864388175,3477.116238143136,velocidad_-10pct
Combination carrier,-1257.172607421875,-728.923333333334,-62955.20966197048,-400.2842065214363,-263097.31292268867,8662.550945199344,velocidad_-10pct
Container ship,2063849.1815757751,-747544.1844444447,92245168.34561945,657130.31539968,420810326.04545945,-13510.16840910437,velocidad_-10pct
Container/ro-ro cargo ship,-19725.742263793945,-21665.67222222223,-1027567.104760096,-6280.683371157368,-4167908.79033878,4616.972413416801,velocidad_-10pct
Gas carrier,25017.650756835938,-97253.36888888893,1480755.1766718826,7965.628922480956,5463569.637912361,-1348.2892449690512,velocidad_-10pct
General cargo ship,400473.2149105072,-850278.9277777781,19824614.437603824,127510.81443961766,83580021.65741265,-2359.1323438067775,velocidad_-10pct
LNG carrier,-423178.79150390625,-132651.16888888893,-19181064.935281243,-134740.27812395524,-86551203.99725887,15659.333523658117,velocidad_-10pct
Oil tanker,-560040.7635974884,-443760.0000000002,-27441186.831186745,-178317.17884468063,-116599776.25352706,6306.099310628827,velocidad_-10pct
Other ship types,681.9507813453674,-282304.568888889,-836287.1151259638,217.13337196974246,-727720.4291410926,61.86683541158099,velocidad_-10pct
Passenger ship,194196.7335357666,-78698.54888888892,9822200.896210901,61832.3092099744,40738355.5011981,-12423.61575699643,velocidad_-10pct
Refrigerated cargo carrier,71310.66714477539,-25519.67777777779,2956993.370219122,22705.341848879358,14309664.2946588,-13457.534458795846,velocidad_-10pct
Ro-pax ship,517238.40856933594,-183197.5033333334,32622668.674077008,164688.89374003757,114967115.54409578,-15061.399434236999,velocidad_-10pct
Ro-ro ship,721519.9433746338,-119284.60222222227,41813203.72375787,229732.20727055555,156679307.35903564,-31523.79524736618,velocidad_-10pct
Vehicle carrier,127625.07804965973,-117470.63111111117,5676763.005560878,40635.87036318647,25994698.187154114,-5310.882818886027,velocidad_-10pct
