_cid,buques,co2_t,ets_eur,fueleu_eur,ahorro_t,factura_eur,nombre,cuota_pct,cuota_acumulada_pct
1535947,436,8990176.67052,455225969.02688915,80459866.6981955,501967.5420744446,535685835.72508466,MSC Shipmanagement Ltd,6.142357975742097,6.142357975742097
5808451,160,6258667.16656,285650768.79285866,56138067.69714511,53772.766427821785,341788836.49000376,Maersk A/S,3.91906831546578,10.061426291207876
0750415,110,3442606.32376,166316675.95934203,33560004.67113232,197007.96840225506,199876680.63047436,MEDITERRANEAN SHIPPING CO SRL,2.2918547431325327,12.353281034340409
0187017,60,2011401.89039,140869142.12657192,29593271.47282203,91848.313712537,170462413.59939396,GRIMALDI EUROMED S.p.A,1.9545806439314364,14.307861678271845
5193283,45,2480817.15055,110241394.34671883,19749897.490968723,67415.54332975947,129991291.83768755,Shanghai Ocean Shipping Co.，Ltd.,1.4905248467424606,15.798386525014305
5908969,20,1380439.67129,98832867.83290905,16486308.02729594,129006.0667866529,115319175.860205,MSC Cruise Management UK Ltd,1.3222893202732604,17.120675845287565
5427869,53,1960838.51646,90575851.80926117,8879877.87812984,63389.33950656073,99455729.68739101,CMA SHIPS SAS,1.14039359217276,18.261069437460325
0217944,43,2104292.26689,83737024.27256998,11136046.10894712,31099.753943767584,94873070.38151711,Hapag-Lloyd AG,1.0878472449290573,19.348916682389383
5001170,78,1615516.32856,72973510.76646134,11701241.257659398,26782.35062836689,84674752.02412075,Seaspan Ship Management Ltd.,0.970909820184718,20.319826502574102
0344771,33,1613702.35073,70393357.64437866,13343392.554818878,60942.556957600755,83736750.19919755,EVERGREEN MARINE CORP. (TAIWAN) LTD,0.9601543687496823,21.279980871323783
1528772,19,954513.4655,68174134.14439964,13143082.542158758,75085.86022792372,81317216.6865584,Grandi Navi Veloci Spa,0.9324111655925217,22.212392036916306
0196718,18,934566.26856,68198268.7735876,12305524.824270556,27880.289245102904,80503793.59785816,Costa Crociere S.p.A.,0.9230841767805666,23.135476213696872
0194433,91,1270943.25063,61966256.53113771,11676041.54948857,42125.82073892453,73642298.08062628,CMA CGM SA,0.8444079100117413,23.979884123708615
1250463,14,734420.4614,58628056.679000296,12412294.6022228,46537.63589134468,71040351.28122309,Finnlines Plc,0.8145730933899091,24.794457217098525
0310102,31,1004761.67366,56205613.67401957,11580559.006665992,100623.25766520748,67786172.68068556,DFDS A/S,0.7772595626812888,25.571716779779813
1249148,28,1287345.22721,57072530.80708373,9361428.059336537,38535.47163527536,66433958.86642027,Orient Overseas Container Line Ltd,0.7617546141591411,26.333471393938954
0034961,74,1297106.4134,55097834.455866754,10719795.181813508,38688.404414727425,65817629.63768026,Zodiac Maritime Ltd,0.7546875713117044,27.08815896525066
5356321,22,753053.97134,51509914.52781522,9672490.46062962,52552.96641632215,61182404.98844484,NCL (Bahamas) Ltd.,0.7015384917676281,27.78969745701829
5463827,37,1031812.83539,47258130.48606007,9121376.512745993,13406.158795963125,56379506.99880606,CMA CGM INTERNATIONAL SHIPPING COMPANY PTE LTD,0.6464668120518449,28.436164269070133
0289239,63,837805.75821,46033055.89424451,9783256.176212754,97814.83863305114,55816312.070457265,Spliethoffs Bevrachtingskantoor B.V.,0.6400090253617073,29.07617329443184
1605338,50,1046271.95271,45990973.57585852,9407831.36331794,47109.849366519986,55398804.939176455,TECHNOMAR SHIPPING INC-LIB,0.6352217450441668,29.711395039476006
1038073,36,1186275.89383,50899166.26250927,493830.5787990748,61673.111167751355,51392996.84130835,Seapeak Maritime Limited,0.5892897720885484,30.300684811564555
1996500,10,707920.78978,39676513.57306791,7683829.521114754,38710.610621334046,47360343.09418266,Carnival Plc,0.5430499776882803,30.843734789252835
5033541,11,426604.37916,33692251.69273933,4771242.914147144,61239.66312538574,38463494.60688648,Forship SpA,0.4410356539551472,31.284770443207982
5365996,24,667982.45783,32151627.474641275,6004362.540360287,33884.36083866712,38155990.015001565,Anglo-Eastern (Germany) GmbH,0.4375097005761765,31.722280143784158
0030163,34,674049.93266,31054657.009518586,6374351.046963804,22281.551323744723,37429008.05648239,Peter Dohle Schiffahrts-KG,0.42917387548368235,32.15145401926784
1601573,122,650691.20618,31553745.483994033,5736470.688337499,35210.35209713921,37290216.172331534,FLEET MANAGEMENT LIMITED,0.4275824400195948,32.57903645928743
5537927,46,622158.85754,30230108.850779217,6193095.663193051,15177.514677730333,36423204.51397227,TMS Tankers Ltd.,0.4176409862427257,32.99667744553015
0186314,26,641335.60404,29728244.93966527,6126792.492078566,12732.463016695972,35855037.43174384,HMM Company Limited,0.4111261871266428,33.407803632656794
0299001,9,376745.81186,29843920.46141623,5895932.874193731,20658.695690773653,35739853.33560996,TT-Line GmbH & Co KG,0.4098054466769556,33.81760907933375
1568628,15,633368.38378,29079849.100663133,6389802.008407754,9997.929192510557,35469651.10907089,DFDS DENIZCILIK VE TASIMACILIK A.S.,0.4067072150446052,34.224316294378355
0033914,30,526477.72903,30266974.770860296,4274463.675418172,33677.215782899126,34541438.44627847,Tsakos Shipping & Trading S.A.,0.3960640095083405,34.6203803038867
1252972,5,342970.06146,28689687.48127857,5811959.41290523,15928.619864803932,34501646.8941838,Color Line Marine AS,0.3956077458906082,35.015988049777306
1314173,43,674830.01664,31059487.141358655,2289814.550866234,24898.837692937657,33349301.69222489,EASTERN PACIFIC SHIPPING PTE. LTD.,0.38239455959741503,35.39838260937472
5377486,12,398351.43883,27452483.483101457,5493650.366657962,14736.829677535774,32946133.84975942,Tui Cruises Gmbh,0.37777169849566766,35.77615430787039
5995361,10,376029.40866,27154552.582874935,5273666.628353851,5906.168616181927,32428219.211228788,Stena Rederi AS,0.37183311117717677,36.14798741904757
0283610,16,584918.11028,26817078.431066032,5503597.2196335755,7049.753370156278,32320675.650699608,"SHOEI KISEN KAISHA, LTD.",0.3705999797357564,36.518587398783325
0254141,8,332028.78425,26647146.385656893,5214036.7269513095,21452.542925187696,31861183.1126082,MOBY SPA,0.3653312803080042,36.88391867909133
5654876,16,651510.68079,27595745.8788887,3164652.614490079,84659.2710922405,30760398.49337878,Nakilat Shipping Qatar Ltd,0.352709305384314,37.236627984475646
0367129,24,687044.41377,30409020.63066369,0.0,21436.80675380261,30409020.63066369,Knutsen OAS Shipping AS,0.3486802859971841,37.58530827047283
5757212,26,486745.09778,26208795.20855067,3705979.1807740415,20088.415752322173,29914774.38932471,EASTERN PACIFIC SHIPPING (UK) LTD.,0.3430130886587294,37.92832135913156
1468950,27,474787.66794,24449923.473269124,5005376.60051085,14438.65159819441,29455300.073779974,Grimaldi Deep Sea S.p.A,0.33774459817696273,38.26606595730852
5289555,21,634433.57691,29207679.21090655,119177.72308995319,27137.80314595188,29326856.933996502,Dynagas Ltd,0.33627182497397057,38.60233778228249
1509526,29,518093.11504,24984185.250072885,4312956.427348853,26080.347258927173,29297141.677421737,MARAN TANKERS MANAGEMENT INC.,0.33593109962517326,38.93826888190766
5642516,8,439314.03769,24062046.22367867,4964183.272341302,97298.49193649614,29026229.496019974,Matrix Ship Management LTD,0.33282472740626545,39.27109360931392
0033503,43,499790.70707,24124051.396568038,4639345.482895302,10184.606591353955,28763396.879463337,Thenamaris Ships Management Inc.,0.3298109982558454,39.60090460756977
1151878,21,629740.58266,23306808.457446706,3997706.2711331113,26601.573674287356,27304514.728579815,Balearia Eurolineas Maritimas SA,0.3130829539105662,39.91398756148033
0184936,10,420712.70311,23878825.653935112,3062477.4014073755,24466.84522771649,26941303.055342488,Brittany Ferries BAI SA,0.3089182439832033,40.22290580546353
1968365,46,495934.41164999997,22952015.180845197,3006292.5771542867,9669.555046570587,25958307.757999483,NYK SHIPMANAGEMENT PTE LTD,0.29764688192342603,40.52055268738696
5287602,55,430734.87318,21586574.354929622,3917535.5233508996,18754.685610596447,25504109.87828052,SYNERGY MARITIME PRIVATE LIMITED,0.2924388928690194,40.81299158025598
1898166,9,277681.54074,20675966.87464695,4151037.1301058587,8281.31815845566,24827004.004752807,AB DFDS Seaways,0.284674964115788,41.09766654437177
1475921,3,250487.89098,20728456.80241462,3992919.1749644186,56347.200697667824,24721375.97737904,SUPERFAST FERRIES S.A.,0.2834637968361399,41.38113034120791
1890038,12,324934.74056,20048525.529211566,4504311.218118865,2441.666951948079,24552836.74733043,Princess Cruise Lines Ltd,0.28153126807604445,41.66266160928395
1168545,97,283082.46232,21570653.862100575,2861401.429795723,12429.218701017537,24432055.2918963,Wilson Ship Management AS,0.2801463463800967,41.94280795566405
1249369,8,250223.21282000002,20391909.58188966,3894937.55498619,7284.354698364854,24286847.13687585,Stena Line Scandinavia AB,0.27848133974813044,42.221289295412184
5596595,39,408828.51467,20129547.080598272,4082494.3409414315,8511.035689189142,24212041.421539705,ASM Maritime BV,0.27762359169585255,42.498912887108034
0517660,18,417338.08769,19615021.208033837,4093440.6985605387,19689.475323290735,23708461.906594377,COSTAMARE SHIPPING COMPANY S.A,0.2718493758331949,42.770762262941226
5899324,9,291256.46622,19806307.298616033,3779830.029104399,25674.518874912414,23586137.327720433,CORSICA LINEA,0.2704467601533186,43.041209023094545
0303304,61,364224.36933,20008767.880354647,3359040.409867344,13216.849724606136,23367808.29022199,Wagenborg Shipping BV,0.26794332434191714,43.30915234743646
4090777,29,522444.95895,23083231.300527114,59070.30115200075,8022.406011800018,23142301.601679116,MARAN GAS MARITIME INC.,0.2653575871157693,43.57450993455223
1204098,14,297446.34645,19324837.89256208,3708692.1395319654,35713.05523206861,23033530.032094046,Wilhelmsen Ship Management (Norway) AS,0.2641103749002913,43.83862030945252
5137583,19,517558.4407,22861825.167476762,58053.73950821581,8827.138768124501,22919878.906984977,GasLog LNG Services Ltd.,0.2628072120234517,44.101427521475976
6324712,31,701576.06031,21618591.75822714,1247534.660051729,83382.68375706681,22866126.41827887,MOL GLOBAL SHIP MANAGEMENT PTE. LTD.,0.26219086750638404,44.36361838898236
0022438,23,362801.02131,18974222.311258428,3871966.715403513,6456.680384289665,22846189.02666194,Danaos Shipping Co LTD,0.2619622585190884,44.62558064750145
0102695,46,321162.80069,18645536.40625574,3248683.0662541715,11484.895605112148,21894219.472509913,Polska Zegluga Morska P.P.,0.25104664829823087,44.87662729579968
1779238,20,267616.17261999997,19077785.633276243,2749889.645192634,43358.04162429746,21827675.278468877,Dredging & Maritime Management,0.25028362968965767,45.126910925489334
3018805,6,265308.57989,18944334.911683373,2484229.577317507,22755.705134816704,21428564.48900088,"SAIPEM (Portugal) - Comercio Maritimo, Sociedade Unipessoal LDA.",0.24570728815250423,45.372618213641836
1941881,52,372621.14695,17170668.53602038,3480564.6124906903,24859.811676371377,20651233.14851107,Oldendorff Carriers GmbH & Co. KG,0.23679413973485178,45.60941235337669
1774869,45,340915.56246,17235453.801039685,3147207.889615499,8729.09639813654,20382661.690655183,Minerva Marine Inc,0.23371460705692523,45.843126960433615
5613811,5,213252.65589,17211378.19974525,3071647.6438616947,15794.103352464197,20283025.843606945,ΑΤΤΙCA FERRIES SINGLE MEMBER MARITIME S.A.,0.23257214817716373,46.07569910861078
2071600,8,360992.78973,16704912.09576898,3220521.9260221096,38453.673754270305,19925434.02179109,"Celebrity Cruises, Inc.",0.2284718773984568,46.30417098600923
0235818,46,246903.11926,17182221.9850298,2688599.5385848796,17836.649371097898,19870821.523614682,Schiffahrtskontor tom Worden GmbH & Co. KG,0.22784567171710818,46.53201665772634
4005696,8,390804.56536999997,16483191.293974191,3387359.3454791275,9451.211514922717,19870550.639453318,"Royal Caribbean Cruises, Ltd.",0.22784256566617664,46.75985922339252
1770509,7,283642.5207,17484096.875733286,2236706.5381992604,9407.355588957176,19720803.413932547,HT Shipmanagement OU,0.22612551249119817,46.98598473588372
6069701,56,345192.87522,16312599.423554024,3204505.310538467,30437.063108946637,19517104.73409249,Stolt Tankers BV,0.22378983339102154,47.20977456927474
0778064,35,347406.46429,16182755.069912052,3148903.620279162,21471.66649872847,19331658.690191213,Columbia Shipmanagement Ltd,0.2216634452902703,47.43143801456501
5326424,19,278708.95752,16017716.793003116,3129551.193464618,17764.91291544591,19147267.986467734,Neptune Lines Shipping and Managing Enterprises SA,0.2195491580828522,47.65098717264786
5676362,36,284377.74785,16051214.595854685,2832300.753741572,20353.054689538774,18883515.34959626,SYNERGY DENMARK A/S,0.21652487966317424,47.867512052311035
5892812,19,284228.71734,15435560.50024789,2773321.3335329914,33418.085772527804,18208881.83378088,AVIN INTERNATIONAL LTD,0.20878929981353614,48.076301352124574
1533455,13,236205.88035,14254590.884083167,3844051.807943148,18602.18028370138,18098642.692026313,Maran Shuttle Tankers Norway AS,0.20752525991097162,48.28382661203555
0251203,8,206144.58413,15921420.71776455,2087828.4352446676,21823.555655642536,18009249.153009217,Molslinjen A/S,0.2065002428566785,48.490326854892224
6512268,28,781222.90805,15081600.610135838,2925393.5756697,169.43784754022752,18006994.185805537,ONESEA SOLUTIONS PTE LTD,0.20647438662740222,48.69680124151963
0175853,48,630803.88483,14804708.598700691,3139182.3070746013,13192.634385077225,17943890.905775294,SYNERGY PACIFIC PRIVATE LIMITED,0.2057508227219564,48.90255206424158
4068111,36,288648.30657,14812835.716448553,2985453.2777558193,1576.084662846972,17798288.994204372,Arkas Denizcilik ve Nakliyat A.S.,0.20408130114199827,49.10663336538358
1898811,31,298706.10610000003,14981498.869435502,2777442.7861933014,31612.117035294286,17758941.655628804,Columbia Shipmanagement-GEU,0.20363013102920868,49.31026349641279
0310062,59,316459.94066,14638056.581486804,2969639.8336068136,3794.064024198583,17607696.41509362,TORM A/S,0.20189590109901676,49.5121593975118
5707428,26,284341.3487,14754691.881222649,2833801.965169223,15810.539468536293,17588493.84639187,Pantheon Tankers Management Ltd,0.20167571784391858,49.71383511535572
5022388,4,173312.6571,14723642.417462258,2843644.467905433,1795.7991325158605,17567286.88536769,Finnlines Ship Management AB,0.201432551537287,49.91526766689301
5652631,14,249797.26492000002,15143942.086212173,2300179.3889624337,73976.12650237544,17444121.475174606,KNOT Management AS,0.20002029459640477,50.115287961489415
4107873,6,264626.48616000003,15854366.098610124,1098564.276989032,39924.633583634226,16952930.375599157,''K'' Line Energy Shipping (UK) Limited,0.19438812856385143,50.309676090053266
5680722,5,191622.87780000002,14383725.964258835,2505039.6693669837,11860.328009716863,16888765.63362582,Compagnia Italiana Di Navigazione,0.19365239357080666,50.503328483624074
0522961,27,311340.93011,13818270.62519047,2767243.2656998998,2221.5966592706473,16585513.890890371,Anglo-Eastern Ship Management Ltd,0.19017520482242858,50.693503688446505
4127108,33,273368.15521,13975970.916486943,2558726.755725014,11438.208255778121,16534697.672211956,TB Marine Shipmanagement GmbH & Co. KG,0.18959252858706777,50.883096217033575
5020687,10,246225.15655,14867316.137812078,1476812.4838337586,17847.598170383248,16344128.621645836,Wallenius Marine,0.18740739833046877,51.070503615364046
1974443,18,214517.14468,13951477.116134167,2341117.5331568737,36178.27943439127,16292594.64929104,Dredging Environmental and marine engineering NV,0.18681649208467135,51.25732010744872
