ship_imo_number,ship_name,company_name,cii_tipo,cii_capacidad,cii_attained,anio_caida,banda_2025,banda_2026,banda_2027,banda_2028,banda_2029,banda_2030
1013676,AQUADONNA,BLUEOCEAN SHIPMANAGEMENT INTERNATIONAL INC.,bulk,53765.97085708873,4.179445026209804,,A,B,B,B,C,C
1014591,NEW ACACIA,FIBER MARINE SHIP MANAGEMENT & TRADING CO.,bulk,29896.252524348107,4.928278836872663,,A,A,A,A,A,A
1014606,SEA GOAT,STELLAR SHIPMANAGEMENT INC.,bulk,44842.777478782344,4.311901473613681,,A,A,A,A,B,B
1014618,BIRD OF PARADISE,STELLAR SHIPMANAGEMENT INC.,bulk,36066.56130756228,5.913729627169259,2030.0,B,C,C,C,C,D
1014838,WARRIOR,DryDel Shipping Inc.,bulk,44354.16475005706,4.1530994114023345,,A,A,A,A,A,B
1014979,LOLITA,DryDel Shipping Inc.,bulk,42137.933478500454,5.593875722044674,2029.0,C,C,C,C,D,D
1015155,SPAR MAIA,Spar Shipping A/S,bulk,52590.19334334722,3.9182454636722293,,A,A,A,A,B,B
1015313,CYTA,"OSAKA ASAHI KAIUN CO., LTD.",bulk,37513.34037363527,5.268808611760452,,A,B,B,B,C,C
1015325,ANNELIESE,"OSAKA ASAHI KAIUN CO., LTD.",bulk,32479.353233597445,5.339389465002911,,A,A,A,A,B,B
1023736,C.S. COSMOS,"CHUGOKU SOUGYO CO., LTD.",bulk,35834.31834479514,4.663910018323146,,A,A,A,A,A,A
1024455,BELGRACE,APEX SHIP MANAGEMENT PTE LTD,bulk,71095.44204651382,3.2778485019097694,,A,A,A,A,B,B
1039357,JNS LAKE,Sino Cosmos Ship Management Limited,bulk,32733.862933438777,6.707816940455376,2028.0,C,C,C,D,D,D
1044508,JNS OCEAN,Synergy Marine Shanghai Ltd,bulk,42413.89261609587,5.25612083436364,2030.0,B,C,C,C,C,D
8000836,KUBROSLI Y,ROSE SHIPS MANAGEMENT CO.,gencargo,15226.078100363398,8.291845028496653,,A,A,A,A,A,A
8009545,GRIS CEMENT I,Sirios Shipmanagement Corp,bulk,7700.920201627186,18.27414668655984,2025.0,D,D,D,E,E,E
8027573,ZEKO Y,ROSE SHIPS MANAGEMENT CO.,gencargo,9842.272617310013,15.02302626122662,2028.0,C,C,C,D,D,D
