ship_imo_number,ship_name,company_name,company_imo_number,ship_type_agrupado,reporting_year,capacidad_estimada,total_co2_emissions_m_tonnes,pred_honesta,origen,residuo_rel,residuo_persistente,grupo,frontera,ahorro_actividad_constante_t,factor_ambito,factor_ambito_fuente,ets_2026_eur,penalizacion_fueleu_eur,balance_fueleu_gco2eq,time_spent_at_sea_hours,distancia_nm,velocidad_nudos,ghgie_wtw,objetivo_fueleu,cumple_fueleu,combustible_evitado_t,ahorro_eur,cii_tipo,cii_capacidad,cii_attained,cii_requerido,anio_caida,banda_2025,banda_2026,banda_2027,banda_2028,banda_2029,banda_2030,cii_aplicable,poblacion_regulada,cii_motivo_sin_banda
1013169,MSC SERENA,MSC SHIPMANAGEMENT LIMITED,1535947,Container ship,2025,49207.87746170678,4524.90112,2639.03369140625,oof,0.7146052870544585,0.31345347455387174,Container ship|Q2,-0.006416783872193781,844.1483888652109,0.604786886481179,declarado,232485.80085122623,0.0,8475562.531553997,477.5,6690.012451085024,14.010497279759212,89.12022978383833,89.3368,True,268.77714804508895,176466.44638844437,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013676,AQUADONNA,BLUEOCEAN SHIPMANAGEMENT INTERNATIONAL INC.,6409613,Bulk carrier,2025,41610.46511627907,5539.37921,6751.2802734375,test,-0.17950685119763887,-0.09164789252739804,Bulk carrier|Q2,-0.009487378275298598,0.0,0.5270511964101479,declarado,248026.95098463792,48588.2278833421,-75799584.07961044,2550.04,24651.025289925947,9.666917103232086,91.3194207211148,89.3368,False,0.0,0.0,bulk,53765.97085708873,4.179445026209804,4.930624721458882,,A,B,B,B,C,C,True,True,
1013937,JEFFREYS BAY,SYNERGY PACIFIC PRIVATE LIMITED,0175853,Chemical tanker,2025,20219.178082191782,1614.197,2057.274169921875,oof,-0.21537098768838428,-0.09447003210302093,Chemical tanker|Q2,-0.018957601023518462,0.0,0.5326435373129799,declarado,73042.92767457406,15888.558674233263,-24851215.13958239,600.9,7014.905149051491,11.673997585374424,91.55678034046468,89.3368,False,0.0,0.0,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013949,NORD MATE,SYNERGY PACIFIC PRIVATE LIMITED,0175853,Chemical tanker,2025,26122.69938650307,3701.78778,3611.94140625,oof,0.024874814855670835,0.0109110543773518,Chemical tanker|Q2,-0.018957601023518462,107.88383319141599,0.5856974302292391,declarado,184191.59566762293,35997.55161801082,-56154520.331988916,1113.48,13842.528534523251,12.431771144989808,91.31437348776208,89.3368,False,34.35025096042793,22383.021416242995,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013951,UM EDO,SYNERGY PACIFIC PRIVATE LIMITED,0175853,Chemical tanker,2025,34611.94029850746,317.7086,810.2529907226562,test,-0.6078896299825577,-0.2632391784353526,Chemical tanker|Q3,-0.014053681516678487,0.0,0.5,declarado,13495.343692233198,2772.5789245336596,-4330274.656000011,125.88,1458.9621963490013,11.59010324395457,91.42372461089518,89.3368,False,0.0,0.0,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013963,STENA CONQUEST,SYNERGY PACIFIC PRIVATE LIMITED,0175853,Chemical tanker,2025,33232.0,4988.84084,5592.96875,oof,-0.10801560620198354,-0.04737981607946632,Chemical tanker|Q3,-0.014053681516678487,0.0,0.5536246151320394,declarado,234638.90022886355,47852.26898969957,-74723224.70064788,1595.6,19174.77130476649,12.01727958433598,91.4072104385034,89.3368,False,0.0,0.0,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013987,JAL PRERANA,Apollo Ship Management India Pvt Ltd,6427331,Chemical tanker,2025,35153.439153439154,4023.31455,5380.7001953125,oof,-0.25226933225066367,-0.1106550709179535,Chemical tanker|Q4,-0.03146629957642807,0.0,0.6208186506322255,declarado,212194.30193757493,42437.21748515685,-66236108.175883815,1611.4,19312.131246237208,11.98469110477672,91.36403916905415,89.3368,False,0.0,0.0,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1013999,JAL KAILASH,Apollo Ship Management India Pvt Ltd,6427331,Chemical tanker,2025,34725.27472527473,6444.52024,5928.7685546875,oof,0.08699136769384054,0.03815777318444291,Chemical tanker|Q3,-0.014053681516678487,309.5496308264994,0.5694063923057832,declarado,311743.85717657564,60963.186924622634,-95101120.13397327,1753.22,21649.040084388187,12.348159434861676,91.3156794770878,89.3368,False,98.56071284315581,63807.66758709721,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1014008,JAL KALP,Apollo Ship Management India Pvt Ltd,6427331,Chemical tanker,2025,12056.934306569343,3848.54485,3104.298095703125,oof,0.23974719287656007,0.1051623770255817,Chemical tanker|Q1,-0.008139769518779191,351.7236377567359,0.5317397379427707,declarado,173852.3812321334,35430.28450944221,-55324840.32449405,1253.7,14879.065262138272,11.868122566912556,91.40562327812799,89.3368,False,111.9889316893482,71409.10219482277,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
1014022,SEAEXPLORER,Thenamaris Ships Management Inc.,0033503,Chemical tanker,2025,26996.51567944251,7789.20879,8453.8828125,test,-0.07862351977687772,-0.03448731194993138,Chemical tanker|Q3,-0.014053681516678487,0.0,0.5687897627918125,declarado,376383.07908949786,71873.2706471341,-112059280.42110993,2707.22,31968.208957150233,11.808500586265703,91.26574560118469,89.3368,False,0.0,0.0,,,,,,,,,,,,False,False,fuera del ambito de MARPOL (entra en el MRV con el Reglamento 2023/957)
